FaceID,X,Y,Z,U,V,PixelX,PixelY,URegion
159,0.269822221,0.111584253,0.956422984,0.7062371996865104,0.5355924937309812,225,85,other
160,0.317885876,0.230956744,0.919569221,0.6970284571147668,0.5741855877761854,222,91,other
161,0.362625599,0.353049664,0.862472382,0.6866548123298427,0.6148553336085417,219,97,other
162,0.400729364,0.470321564,0.786265606,0.67498280172766,0.6558620665221231,215,104,other
163,0.429883067,0.575650671,0.695576633,0.6618970524656248,0.6952511769609528,211,110,other
164,0.44942011,0.664333442,0.597229137,0.6473283930777242,0.7312844955291978,206,116,other
165,0.352947486,0.741133792,0.571094365,0.6618975665577196,0.7657115946540722,211,121,other
166,0.333179804,0.664332905,0.669068764,0.6764661764078134,0.7312842665680587,215,116,other
167,0.305987863,0.569943079,0.762585283,0.6892690068391802,0.69303475880983,219,110,other
168,0.27173871,0.460751835,0.844905806,0.7004754561769919,0.6524201815186668,223,103,other
169,0.232060679,0.342416135,0.910438923,0.7102789748142729,0.6112452589083519,226,97,other
170,0.189502112,0.222133193,0.956423439,0.7188688458957573,0.5713019813498244,229,90,other
171,0.146794354,0.106651938,0.983400621,0.7264167282088297,0.5340130563082723,231,84,other
172,0.030549123,0.094021168,0.995101387,0.7451155556285611,0.5299721372520613,237,84,u075
173,0.066777477,0.205522379,0.976371507,0.7391317593260759,0.5658893351375028,235,89,u075
174,0.105150314,0.323623764,0.940324982,0.7322763870041489,0.6049012054071836,233,96,u075
175,0.143766299,0.442473602,0.885182672,0.7243747203429249,0.6458989638714157,231,102,other
176,0.180357511,0.555091619,0.812000285,0.7152140059779701,0.6873168083327991,228,109,other
177,0.212868393,0.655151595,0.724888567,0.7045410268458369,0.7273952538675457,224,115,other
178,0.239992742,0.738633361,0.629939872,0.6920674974921074,0.764528492459776,220,121,other
179,0.261371961,0.804432868,0.533453333,0.6774913698180435,0.7975306654379266,216,126,other
180,0.181391744,0.862542259,0.47235356,0.6916454647863757,0.8311290960565144,220,132,other
181,0.115427467,0.913703401,0.389644191,0.704163061986996,0.8667903259763272,224,137,other
182,0.048756545,0.955435041,0.291147181,0.7235923850820801,0.9046132437270357,230,143,other
183,-0.023806662,0.983374157,0.180023636,0.770925529485501,0.9418753286655369,245,149,other
184,-0.098727867,0.993241975,0.061017926,0.9118950312270446,0.9629728823929881,290,153,other
185,-0.171660656,0.983374796,-0.059216804,0.05286835616625766,0.9418764481103342,16,149,other
186,-0.238598209,0.955436218,-0.173817511,0.10020315707461018,0.9046145129334173,31,143,other
187,-0.296877756,0.913704942,-0.277501129,0.1196329557384607,0.8667915333987319,38,137,other
188,-0.341353336,0.862543758,-0.373491854,0.13215058582425315,0.8311300389364297,42,132,other
189,-0.360233877,0.804433703,-0.47235365,0.1463043168457095,0.7975311129207142,46,126,other
190,-0.456096391,0.738634772,-0.496381664,0.13172748436469875,0.7645291587069524,42,121,other
191,-0.443673559,0.8070508,-0.389644426,0.11469542868952273,0.7989376629983893,36,127,other
192,-0.414825123,0.86565828,-0.280278184,0.09456966135325648,0.8330997632510356,30,132,other
193,-0.368557903,0.913209994,-0.173817659,0.07013693437174817,0.866404377477207,22,137,other
194,-0.308463289,0.949354998,-0.059795386,0.03047410837271388,0.8982619083012624,9,142,other
195,-0.238671736,0.969099539,0.062304784,0.9593598700940519,0.9206636310461384,306,146,other
196,-0.162464646,0.969098879,0.185614121,0.8644307380915754,0.9206627792248734,275,146,other
197,-0.084470125,0.949353118,0.302644107,0.7933188789351776,0.8982600041929888,253,142,other
198,-0.009364001,0.913207209,0.40738791,0.7536576064987284,0.8664022017392647,240,137,u075
199,0.065163057,0.865655213,0.496381736,0.7292255548986144,0.8330978135579513,232,132,other
200,-0.062425118,0.855164836,0.514583529,0.7692135070443026,0.8265441661504012,245,131,u075
201,-0.143426607,0.896463663,0.419263294,0.8024594600662361,0.8538725331439,255,135,other
202,-0.224119171,0.924303534,0.308923251,0.8498897790948503,0.8753531502976525,271,139,other
203,-0.303532246,0.934171331,0.187595577,0.9118950195026804,0.8838593191679782,290,140,other
204,-0.376533644,0.924305428,0.062304827,0.9739011957556615,0.8753547299458692,310,139,other
205,-0.439135607,0.896467109,-0.059216902,0.021333162660566427,0.8538750085820573,6,135,other
206,-0.488165975,0.855169123,-0.174297882,0.05458033392491828,0.826546798882953,17,131,other
207,-0.522142612,0.801623497,-0.29114749,0.08095583878683141,0.7960300877551124,25,126,other
208,-0.544342099,0.733298577,-0.407387869,0.10225370267912355,0.7620202385998956,32,121,other
209,-0.553153093,0.655153395,-0.51458302,0.11925330873542699,0.7273960122516268,38,115,other
210,-0.645609287,0.555093452,-0.524461541,0.10857979555059934,0.6873175098083372,34,109,other
211,-0.642960924,0.640952373,-0.419262813,0.09196561121309221,0.7214604014011832,29,114,other
212,-0.626352073,0.718393795,-0.302644073,0.07163652094298521,0.755122377443223,22,120,other
213,-0.597271709,0.781574,-0.180023856,0.04659263534818831,0.7855828672393045,14,124,other
214,-0.556756365,0.828563072,-0.05920799,0.01686188249537177,0.8108411803000779,5,128,other
215,-0.503941418,0.861579856,0.061018026,0.9808226217602013,0.8305246359794961,312,132,other
216,-0.438188248,0.879510315,0.185614291,0.9362298161442373,0.8421297185017426,298,133,other
217,-0.361980786,0.879509103,0.308923369,0.8875603809271632,0.8421289078985781,283,133,other
218,-0.279947078,0.861576487,0.423456716,0.8429685443330306,0.8305225236343744,268,132,other
219,-0.196036153,0.828558306,0.524462544,0.8069305041723227,0.8108384708968494,257,128,other
220,-0.32842607,0.785541436,0.524462552,0.8390427674012169,0.7876154569466433,267,125,other
221,-0.41090032,0.809554934,0.419263324,0.8733967397120118,0.8002915004028518,278,127,other
222,-0.489682762,0.817690158,0.302644341,0.9118950223861093,0.804745742988274,290,127,other
223,-0.558755759,0.809557522,0.180023943,0.9503936800036176,0.8002929035303166,303,127,other
224,-0.6159643,0.785545924,0.059207959,0.9847485038788563,0.7876177654602712,314,125,other
225,-0.663686405,0.745518049,-0.06101799,0.014591365226679904,0.7677978594792175,4,122,other
226,-0.701058978,0.688522859,-0.185614068,0.04119307473946798,0.7417405210984948,13,117,other
227,-0.724607997,0.616043833,-0.308922718,0.06413901546604414,0.7112655904626471,20,113,other
228,-0.732903377,0.5324829,-0.423455548,0.08338439686710448,0.6787409354735773,26,107,other
229,-0.727431567,0.442475188,-0.524460697,0.09941860741906078,0.6458995268680194,31,102,other
230,-0.794023579,0.323624913,-0.51458087,0.09151655788746464,0.6049015919923875,29,96,other
231,-0.808270004,0.413424098,-0.419261393,0.07615673765248017,0.6356672976020571,24,101,other
232,-0.809811524,0.49877089,-0.30892215,0.0580015533000734,0.6662150888914009,18,105,other
233,-0.794655903,0.57734745,-0.18759509,0.03689633660278367,0.6959121769616141,11,110,other
234,-0.762713652,0.64372821,-0.062304702,0.0129722767900847,0.722613266027407,4,114,other
235,-0.71689203,0.694664798,0.059216848,0.9868832323102529,0.7444472887623773,314,118,other
236,-0.662463627,0.728534294,0.174297805,0.9590534619138049,0.759798106085958,305,120,other
237,-0.601039981,0.744301073,0.291147477,0.9282060161070684,0.7672172305039535,296,121,other
238,-0.529200322,0.744299707,0.407387979,0.8955840910530565,0.7672165793160667,285,121,other
239,-0.45215795,0.728530774,0.514583423,0.8647371227969675,0.759796470387683,275,120,other
240,-0.561544308,0.662022132,0.496381594,0.8847907445719634,0.7303015278627696,282,116,other
241,-0.653744722,0.591185315,0.472353429,0.9004182555240264,0.7013398163156659,287,111,other
242,-0.630449846,0.671349629,0.389644282,0.9118950186441366,0.734285086011358,290,116,other
243,-0.695102841,0.662024374,0.28027802,0.9389994935570609,0.7303024800721741,299,116,other
244,-0.754625003,0.632715249,0.173817485,0.9639692768843229,0.718059633375797,307,114,other
245,-0.807571751,0.586730254,0.059795278,0.9882371076870965,0.6995851045411207,315,111,other
246,-0.847917126,0.526454832,-0.062304563,0.011673653033115504,0.6764790751954183,3,107,other
247,-0.871466025,0.453976502,-0.185613316,0.03339928873381871,0.6499949993479304,10,103,other
248,-0.876788504,0.373696962,-0.302642528,0.05289783956511907,0.6219100000558792,16,98,other
249,-0.865621062,0.291096758,-0.407385388,0.0700082842471659,0.594020159630693,22,94,other
250,-0.843426776,0.205523011,-0.496378449,0.08466086336503598,0.5658895407052579,27,89,other
251,-0.876382187,0.094021413,-0.472349696,0.07867677469133447,0.5299722155887828,25,84,other
252,-0.904654969,0.172566514,-0.389641097,0.06472743333846367,0.5552059736703523,20,88,other
253,-0.923741409,0.248870123,-0.291145104,0.04859395916390413,0.580059233120389,15,92,other
254,-0.927889705,0.326515815,-0.180022546,0.03049920127272655,0.605874641706155,9,96,other
255,-0.914122605,0.400820051,-0.06101762,0.010607845397627911,0.6312747435395178,3,100,other
